index,credId,fullName,studentId,dob,programCode,degreeTitle,vct,graduationDate,honors,gpa,batchId,holderEmail
10,urn:uuid:26bd3024-4ba9-4ec8-9b25-183531b027f9,Cao Thiện Hải,2610002,2000-11-17,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Giỏi,3.38,GRAD-2026-01,2610002@hcmut.edu.vn
11,urn:uuid:f9706f76-ca92-47ea-9388-c3470098825d,Phạm Minh Quân,1910002,2000-08-11,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Giỏi,3.35,GRAD-2026-01,1910002@hcmut.edu.vn
12,urn:uuid:fb4259fe-2b29-4bd2-b484-fe9752d1ddc0,Mai Quang Hải,2010002,2001-01-07,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.27,GRAD-2026-01,2010002@hcmut.edu.vn
13,urn:uuid:3c155862-5cc6-4296-95fb-2028b833b569,Nguyễn Tuấn Tâm,2310003,2003-05-15,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Trung bình,2.30,GRAD-2026-01,2310003@hcmut.edu.vn
14,urn:uuid:92938907-8e7a-46c7-b138-fda4cfd7e432,Phạm Thiện Minh,2110001,2004-12-05,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Giỏi,3.57,GRAD-2026-01,2110001@hcmut.edu.vn
15,urn:uuid:39a0b0a2-5497-4893-ae44-4cf353ba8270,Đỗ Hồng Hạnh,2610003,2001-10-26,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Trung bình,2.22,GRAD-2026-01,2610003@hcmut.edu.vn
16,urn:uuid:31591f65-82a5-4576-85d0-fe266d707eae,Nguyễn Thanh Hạnh,1910003,2002-12-06,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.44,GRAD-2026-01,1910003@hcmut.edu.vn
17,urn:uuid:ddff48db-8b98-4127-9978-df065499db01,Dương Kim Khánh,2210004,2002-02-03,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,3.06,GRAD-2026-01,2210004@hcmut.edu.vn
18,urn:uuid:c00888a1-575f-46f6-8c05-ebdea1e8499c,Lâm Hữu Thiên,2510001,2003-01-21,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Khá,3.19,GRAD-2026-01,2510001@hcmut.edu.vn
19,urn:uuid:64d5559c-4fb2-4642-ba01-7c3f95cbe0d5,Đặng Văn Duyên,2110002,2001-11-07,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Trung bình,2.47,GRAD-2026-01,2110002@hcmut.edu.vn
20,urn:uuid:aa150a6b-cca8-4397-ab5f-c5b2abb2cea4,Đặng Ngọc Quân,2610004,2004-11-20,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Khá,3.16,GRAD-2026-01,2610004@hcmut.edu.vn
21,urn:uuid:af2109a8-b4b9-4066-ac4d-760d314f37ba,Vũ Trung An,2210005,2000-05-03,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Trung bình,2.33,GRAD-2026-01,2210005@hcmut.edu.vn
22,urn:uuid:4a860770-7a61-44e3-ba3e-4eaac0711bb8,Trương Thành Xuân,2010003,2000-01-16,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Giỏi,3.36,GRAD-2026-01,2010003@hcmut.edu.vn
23,urn:uuid:90cfe088-386b-4494-bac1-7afc4632bc80,Trần Tuấn Khoa,2010004,2002-09-23,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Xuất sắc,3.62,GRAD-2026-01,2010004@hcmut.edu.vn
24,urn:uuid:7ba4339e-d7d1-4854-8a54-d021d62c42ab,Huỳnh Hữu Hải,2610005,2004-04-10,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Khá,2.72,GRAD-2026-01,2610005@hcmut.edu.vn
25,urn:uuid:12fae89e-8201-4b80-bba9-11e9a440d9ba,Lâm Trung Quân,2010005,2001-02-04,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,2.95,GRAD-2026-01,2010005@hcmut.edu.vn
26,urn:uuid:2fca7a59-9768-420a-afb2-169febd6dac9,Vũ Văn Tâm,2110003,2004-07-16,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Khá,2.63,GRAD-2026-01,2110003@hcmut.edu.vn
27,urn:uuid:f0740d16-4c56-4043-bd8f-ad522823eac4,Huỳnh Xuân Nhung,1910004,1999-08-28,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.30,GRAD-2026-01,1910004@hcmut.edu.vn
28,urn:uuid:000801e4-c02f-4a0e-a9ab-3e9431c42ce1,Trần Minh Hà,2010006,1999-05-30,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,3.18,GRAD-2026-01,2010006@hcmut.edu.vn
29,urn:uuid:c5a10f67-bcb9-45e0-88f6-7abd1aa9ef26,Lâm Phương Thảo,1910005,2000-01-03,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,2.73,GRAD-2026-01,1910005@hcmut.edu.vn
30,urn:uuid:6063d1bb-df01-4015-8ece-41ef08c0ca6c,Nguyễn Anh Đạt,2210006,1999-08-11,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.99,GRAD-2026-01,2210006@hcmut.edu.vn
31,urn:uuid:c0133881-b901-4947-bdd4-ae8e17beed23,Bùi Thanh Hạnh,2010007,1999-08-18,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,2.77,GRAD-2026-01,2010007@hcmut.edu.vn
32,urn:uuid:75da636f-a0fa-4a5a-9c02-e05b6116a62f,Đặng Đức Vy,2010008,2001-05-28,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.28,GRAD-2026-01,2010008@hcmut.edu.vn
33,urn:uuid:cc9fd9bc-44a2-418e-bacc-69d01f4dc8f1,Trương Kim Vinh,2510002,1999-07-25,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Trung bình,2.13,GRAD-2026-01,2510002@hcmut.edu.vn
34,urn:uuid:abfe41c3-2a27-4b0e-871e-718da0875590,Phan Phương Trọng,2410002,2004-06-25,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Khá,2.54,GRAD-2026-01,2410002@hcmut.edu.vn
35,urn:uuid:587ba872-4bc5-4bec-8c3e-48bd87a31806,Ngô Bảo Tuấn,1910006,1999-02-10,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.32,GRAD-2026-01,1910006@hcmut.edu.vn
36,urn:uuid:a023dd4c-1db2-46a3-9bbb-3c7ea5a7172f,Tô Văn Trinh,2110004,2002-01-13,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Trung bình,2.10,GRAD-2026-01,2110004@hcmut.edu.vn
37,urn:uuid:a511b0d7-a805-4e0f-8663-e6c4b93e1efc,Võ Anh Cường,2410003,2001-01-13,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Trung bình,2.47,GRAD-2026-01,2410003@hcmut.edu.vn
38,urn:uuid:5610b864-c1ba-43f7-b4d3-64b6ba8b962d,Phạm Hữu Phát,1910007,2001-03-25,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,2.61,GRAD-2026-01,1910007@hcmut.edu.vn
39,urn:uuid:8c906df1-b29f-4293-a4af-51b9d8c438b5,Võ Quang Nhung,2010009,2004-11-19,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.35,GRAD-2026-01,2010009@hcmut.edu.vn
40,urn:uuid:8e310f15-6cd8-48b9-8edf-935e0f83ae28,Hoàng Hoàng Quyên,2210007,2000-10-20,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.72,GRAD-2026-01,2210007@hcmut.edu.vn
41,urn:uuid:e91ec65e-cc75-4cb8-ab6f-bde35d640040,Trương Trung Tâm,2210008,2004-08-14,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.77,GRAD-2026-01,2210008@hcmut.edu.vn
42,urn:uuid:79cc0bf7-ab44-454e-acc3-44d3615c8141,Tô Hồng Lan,1910008,1999-02-16,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.41,GRAD-2026-01,1910008@hcmut.edu.vn
43,urn:uuid:99b67db0-2a24-4be3-923c-5fb310ac4585,Cao Hữu Khánh,2610006,2003-01-19,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Giỏi,3.44,GRAD-2026-01,2610006@hcmut.edu.vn
44,urn:uuid:da0123dc-fb04-4b02-bf9b-60cd017f1857,Nguyễn Hữu Long,1910009,2004-07-26,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.09,GRAD-2026-01,1910009@hcmut.edu.vn
45,urn:uuid:cd2a6828-d506-44eb-91a0-4cd914f342bc,Bùi Văn Châu,2410004,1999-11-21,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Trung bình,2.07,GRAD-2026-01,2410004@hcmut.edu.vn
46,urn:uuid:d4ce0f4c-00ef-49f1-90c4-0d0fe4c2f4db,Vũ Bảo Thắng,2110005,2004-05-23,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Giỏi,3.40,GRAD-2026-01,2110005@hcmut.edu.vn
47,urn:uuid:184affda-fa1e-435a-a5c3-28c40855d470,Tô Thị Trí,1910010,2003-07-10,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,2.58,GRAD-2026-01,1910010@hcmut.edu.vn
48,urn:uuid:3d91663e-205f-4a13-9047-b1ccc142aa6d,Lâm Thanh Phượng,2010010,1999-12-20,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.28,GRAD-2026-01,2010010@hcmut.edu.vn
49,urn:uuid:e63e6415-03a1-48c8-a1ce-fadfec2610c4,Trương Trung Châu,2510003,2003-10-27,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Khá,2.63,GRAD-2026-01,2510003@hcmut.edu.vn
50,urn:uuid:d218d523-f18a-4c25-84e6-0dd16b35f99b,Đỗ Hồng Châu,2310004,2003-02-22,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Xuất sắc,3.63,GRAD-2026-01,2310004@hcmut.edu.vn
51,urn:uuid:70f8828b-9532-472e-ae4f-11a9eb205105,Ngô Thị Duyên,2110006,1999-01-26,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Giỏi,3.52,GRAD-2026-01,2110006@hcmut.edu.vn
52,urn:uuid:f4177c71-92ff-442a-8187-c6429997d8aa,Đỗ Hồng Trọng,1910011,2004-07-21,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,2.58,GRAD-2026-01,1910011@hcmut.edu.vn
53,urn:uuid:5521327d-1de4-4df9-85e5-a73dc40e506c,Lý Anh Nhung,2410005,2002-09-25,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Trung bình,2.09,GRAD-2026-01,2410005@hcmut.edu.vn
54,urn:uuid:e5d25414-b1fb-401d-9538-746f1d817dc6,Lý Hoàng Đạt,2610007,1999-11-19,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Khá,2.55,GRAD-2026-01,2610007@hcmut.edu.vn
55,urn:uuid:1e4d4e3a-0bc1-41df-b72e-956fe3229afb,Hoàng Thanh Lan,2610008,1999-01-26,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Khá,2.91,GRAD-2026-01,2610008@hcmut.edu.vn
56,urn:uuid:a15c9021-69d9-466f-a9a4-0880399aa96f,Trần Tuấn Thảo,1910012,2004-12-28,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,3.02,GRAD-2026-01,1910012@hcmut.edu.vn
57,urn:uuid:eea4db72-6dbd-4187-be50-ffdafc3b5308,Huỳnh Thiện Nhung,2110007,1999-11-29,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Trung bình,2.38,GRAD-2026-01,2110007@hcmut.edu.vn
58,urn:uuid:fd0a77b3-60c5-4731-a500-41fd6a41cf9e,Dương Ngọc Nam,2410006,2003-09-01,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Khá,3.03,GRAD-2026-01,2410006@hcmut.edu.vn
59,urn:uuid:55b49222-a320-44ca-ab06-6ac3805c1079,Đinh Bảo Quân,2110008,1999-12-06,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Khá,2.65,GRAD-2026-01,2110008@hcmut.edu.vn
60,urn:uuid:865d5abd-364c-41f6-ace4-305b4c659dac,Hồ Tuấn Đạt,2210009,2004-09-29,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Trung bình,2.15,GRAD-2026-01,2210009@hcmut.edu.vn
61,urn:uuid:7fd170d4-5b95-41b1-a498-da1e2ab8f550,Võ Anh Nghĩa,2310005,1999-01-01,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Trung bình,2.46,GRAD-2026-01,2310005@hcmut.edu.vn
62,urn:uuid:e115986e-7ef5-436f-948f-58b5a39a69d7,Trần Phương Quyên,2110009,2003-06-15,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Giỏi,3.55,GRAD-2026-01,2110009@hcmut.edu.vn
63,urn:uuid:9c4109b3-13ea-4aa2-a2ec-25f89e4ce350,Võ Xuân Trinh,2510004,2002-12-06,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Khá,3.17,GRAD-2026-01,2510004@hcmut.edu.vn
64,urn:uuid:43e400ce-fe36-4210-9f3c-8e9db0705d8c,Lê Thị Yến,2410007,2004-12-29,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Khá,2.77,GRAD-2026-01,2410007@hcmut.edu.vn
65,urn:uuid:35b13460-f355-40ff-876e-241e5caaef6b,Lâm Thị Châu,1910013,2002-07-19,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,3.04,GRAD-2026-01,1910013@hcmut.edu.vn
66,urn:uuid:bf6eaba8-5103-4e17-859e-51bb5455274b,Vũ Trung Khánh,2010011,2000-04-25,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.32,GRAD-2026-01,2010011@hcmut.edu.vn
67,urn:uuid:13f85213-7f3a-41a2-b264-ed3d50f34755,Lâm Quang Trinh,2310006,2003-05-25,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Khá,3.14,GRAD-2026-01,2310006@hcmut.edu.vn
68,urn:uuid:77703822-5802-4c7f-9c84-183bcba9c992,Trần Anh Sơn,2410008,2001-12-08,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Trung bình,2.23,GRAD-2026-01,2410008@hcmut.edu.vn
69,urn:uuid:7229ed3f-9e48-41cc-bdc8-145e1d9c7418,Tô Văn Châu,2010012,1999-11-25,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,2.93,GRAD-2026-01,2010012@hcmut.edu.vn
70,urn:uuid:fd418797-3b30-4ec4-b6e6-4df7a0dc8f65,Tô Đức Thắng,2510005,1999-05-08,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Khá,2.74,GRAD-2026-01,2510005@hcmut.edu.vn
71,urn:uuid:703d1dde-9cec-45e1-b4cf-d7be3f6dd4f0,Đặng Bảo Trí,2010013,2001-02-16,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Giỏi,3.40,GRAD-2026-01,2010013@hcmut.edu.vn
72,urn:uuid:9f54badc-c70b-4674-98d3-b8edc2627949,Dương Kim Trí,2510006,1999-11-15,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Trung bình,2.20,GRAD-2026-01,2510006@hcmut.edu.vn
73,urn:uuid:99402815-2197-4f99-87c2-9a8a76233ccd,Phan Thành Linh,2010014,2004-03-09,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,3.13,GRAD-2026-01,2010014@hcmut.edu.vn
74,urn:uuid:2ef258b0-cb11-4079-94d8-c895956050c4,Trần Anh An,2210010,2004-10-18,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.71,GRAD-2026-01,2210010@hcmut.edu.vn
75,urn:uuid:ae8f49cc-011a-439c-9856-5f84826460c9,Đỗ Anh Nhung,2010015,1999-03-03,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Xuất sắc,3.71,GRAD-2026-01,2010015@hcmut.edu.vn
76,urn:uuid:d1a8d372-f368-4e44-8ace-497c6cdf20ab,Đinh Hoàng Hùng,2510007,2001-04-14,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Trung bình,2.32,GRAD-2026-01,2510007@hcmut.edu.vn
77,urn:uuid:9e94a541-5cf7-4dc6-8ed8-47d61172cb07,Hoàng Bảo Ngân,2610009,2004-03-26,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Trung bình,2.24,GRAD-2026-01,2610009@hcmut.edu.vn
78,urn:uuid:cb437c3a-6a97-4796-8b6b-91d77c47aa7b,Ngô Xuân Trọng,2110010,2002-11-02,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Trung bình,2.12,GRAD-2026-01,2110010@hcmut.edu.vn
79,urn:uuid:4cc87ed9-4fac-4fc1-946d-dfe8b6209cd3,Lý Ngọc Xuân,2510008,2003-04-18,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Giỏi,3.52,GRAD-2026-01,2510008@hcmut.edu.vn
80,urn:uuid:640f159e-f320-4aef-9a65-907268f85e91,Trương Anh Bình,2410009,2001-09-07,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Trung bình,2.13,GRAD-2026-01,2410009@hcmut.edu.vn
81,urn:uuid:975c743f-3a3f-41b7-88b4-0d40e150466f,Ngô Minh Trí,2610010,2004-01-21,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Giỏi,3.51,GRAD-2026-01,2610010@hcmut.edu.vn
82,urn:uuid:ac5b1bed-a53b-46f0-9bea-35b173d12f84,Phan Trung Hải,2010016,2001-10-27,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.15,GRAD-2026-01,2010016@hcmut.edu.vn
83,urn:uuid:5c9258ce-acd7-46a5-b738-897cb3b043cf,Hoàng Ngọc Trí,2310007,1999-02-02,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Giỏi,3.43,GRAD-2026-01,2310007@hcmut.edu.vn
84,urn:uuid:445142b4-4e2e-47f6-85c8-31d60e674797,Phan Hữu Ngân,2010017,2003-12-04,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Khá,2.87,GRAD-2026-01,2010017@hcmut.edu.vn
85,urn:uuid:8b9a52b7-8167-4736-89e0-28a4def1c63e,Đỗ Hồng Hương,1910014,2004-12-24,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Khá,2.55,GRAD-2026-01,1910014@hcmut.edu.vn
86,urn:uuid:6ee83e78-1bfe-4ef1-8692-ab32720bec4b,Lâm Bảo Thảo,2510009,1999-05-05,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Giỏi,3.43,GRAD-2026-01,2510009@hcmut.edu.vn
87,urn:uuid:f6700652-2b92-46a1-b32f-eb43c86bb11a,Ngô Hữu Phát,2310008,2000-07-18,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Giỏi,3.50,GRAD-2026-01,2310008@hcmut.edu.vn
88,urn:uuid:d33d279e-86a4-4143-972e-c105984219d1,Lê Xuân Hải,2210011,2001-04-20,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Trung bình,2.45,GRAD-2026-01,2210011@hcmut.edu.vn
89,urn:uuid:79a00b22-243d-41b8-85c7-ad1412166e68,Tô Hữu Thắng,2110011,2002-06-15,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Khá,2.97,GRAD-2026-01,2110011@hcmut.edu.vn
90,urn:uuid:1abcca27-93e6-42f9-ba86-f78611d74ab3,Võ Quang Bình,2510010,2001-08-03,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Khá,2.66,GRAD-2026-01,2510010@hcmut.edu.vn
91,urn:uuid:ac69a233-ca2d-4c6d-8ebb-9444004b7beb,Lý Xuân Khoa,2310009,2000-07-19,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Khá,2.98,GRAD-2026-01,2310009@hcmut.edu.vn
92,urn:uuid:db690d62-a213-48fa-abf0-1682f5d7eef8,Cao Thanh Lan,2510011,2000-09-09,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Trung bình,2.15,GRAD-2026-01,2510011@hcmut.edu.vn
93,urn:uuid:0059c69d-dad9-4e1d-95bc-0aa692c6bf72,Mai Đức Vinh,2510012,1999-06-17,ENV,Kỹ sư Kỹ thuật Môi trường,BKISC_DEGREE,2026-06-15,Xuất sắc,3.85,GRAD-2026-01,2510012@hcmut.edu.vn
94,urn:uuid:1a9c29b7-a13b-4acb-9204-b7105bee6e1b,Đặng Đức Phúc,2610011,2002-04-27,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Giỏi,3.34,GRAD-2026-01,2610011@hcmut.edu.vn
95,urn:uuid:57ab45bd-4124-437e-8445-0f7d78d9443e,Tạ Quốc Châu,2310010,2003-07-31,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Giỏi,3.53,GRAD-2026-01,2310010@hcmut.edu.vn
96,urn:uuid:d92b505d-5168-41b9-a316-89a02071dcf2,Tô Phương Đạt,2010018,2002-11-02,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Xuất sắc,3.83,GRAD-2026-01,2010018@hcmut.edu.vn
97,urn:uuid:8a96b1fd-ea74-4577-84c3-e1f31cacecc2,Mai Ngọc Hải,1910015,2002-04-12,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.46,GRAD-2026-01,1910015@hcmut.edu.vn
98,urn:uuid:c68d5aa7-b3ca-4171-843f-d5ed10fc37c3,Đinh Văn Lan,2610012,1999-05-06,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Trung bình,2.41,GRAD-2026-01,2610012@hcmut.edu.vn
99,urn:uuid:de605af5-255a-4dec-8c56-3576d707e711,Trương Thiện Xuân,2210012,2000-01-29,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.80,GRAD-2026-01,2210012@hcmut.edu.vn
100,urn:uuid:08d3eaf6-9ab8-43ba-bcf9-2a70d2152f7e,Võ Ngọc Khánh,2110012,2003-06-22,ME,Kỹ sư Cơ khí,BKISC_DEGREE,2026-06-15,Trung bình,2.36,GRAD-2026-01,2110012@hcmut.edu.vn
101,urn:uuid:a09cad7e-e70e-4094-9a3b-89cbd04291af,Hồ Bảo Châu,2410010,2002-12-19,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Khá,2.86,GRAD-2026-01,2410010@hcmut.edu.vn
102,urn:uuid:b65bfc4f-46ea-43b5-8fc3-19b5bd8c19a7,Trương Văn Hải,1910016,2003-12-25,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.16,GRAD-2026-01,1910016@hcmut.edu.vn
103,urn:uuid:76a33dd1-8115-4e43-bb78-73a4ad900e6e,Lê Bảo Ngân,1910017,2003-04-02,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Trung bình,2.47,GRAD-2026-01,1910017@hcmut.edu.vn
